model_name,model_id,network_type,primary_param_name,primary_param_value,rho_final,peak_I,t_peak,is_supercritical
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.009,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.008,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.007,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.006,0.006000000052154064,1,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.007,0.007000000216066837,2,False
SIR,0,ER,beta,0.004866163685187309,0.007,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.01,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.009,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.004866163685187309,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.009,0.006000000052154064,1,False
SIR,0,ER,beta,0.006334580102437479,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.009,0.007000000216066837,2,False
SIR,0,ER,beta,0.006334580102437479,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.008,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.006,0.006000000052154064,1,False
SIR,0,ER,beta,0.006334580102437479,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.011,0.006000000052154064,1,False
SIR,0,ER,beta,0.006334580102437479,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.007,0.004999999888241291,0,False
SIR,0,ER,beta,0.006334580102437479,0.006,0.004999999888241291,0,False
